"BehaviorSpace results (NetLogo 6.2.0)"
"/home/h2/s1426633/IPS-SPREADS-2-4-MM.nlogo"
"UPS1"
"08/04/2022 09:15:31:083 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","sanitation-felling","path-to-input","[step]","nhost1","nhost2","nhost3","prima1","prima2","prima3","count spruce","ncut1","ncut2","ncut3"
"189","0","input/6037/","8106","0","0","0","4.654761904761905","0","0","672","0","0","0"
"190","0","input/6037/","8108","0","0","0","4.654761904761905","0","0","672","0","0","0"
"174","0","input/5884/","44690","13","14","23","5.23444976076555","5.04066985645933","4.8253588516746415","418","0","0","0"
"191","0","input/6041/","8089","0","0","0","4.630150753768844","0","0","1990","0","0","0"
"192","0","input/6041/","8134","0","0","0","4.630150753768844","0","0","1990","0","0","0"
"193","0","input/6041/","8187","0","0","0","4.630150753768844","0","0","1990","0","0","0"
"194","0","input/6041/","8151","0","0","0","4.630150753768844","0","0","1990","0","0","0"
"195","0","input/6041/","8157","0","0","0","4.630150753768844","0","0","1990","0","0","0"
"196","0","input/6041/","8150","0","0","0","4.630150753768844","0","0","1990","0","0","0"
"179","0","input/5884/","40665","10","8","8","5.23444976076555","5.090909090909091","4.973684210526316","418","0","0","0"
"197","0","input/6041/","8121","0","0","0","4.630150753768844","0","0","1990","0","0","0"
"198","0","input/6041/","8133","0","0","0","4.630150753768844","0","0","1990","0","0","0"
"199","0","input/6041/","8113","0","0","0","4.630150753768844","0","0","1990","0","0","0"
"200","0","input/6041/","8119","0","0","0","4.630150753768844","0","0","1990","0","0","0"
"180","0","input/5884/","40278","13","13","17","5.23444976076555","5.043062200956938","4.849282296650718","418","0","0","0"
"160","0","input/5500/","46282","165","285","395","4.570271557884707","4.163887565507385","3.4873749404478325","2099","0","0","0"
"206","0","input/6170/","49477","281","295","296","4.498116051243406","3.437829691032404","2.333835719668425","1327","0","0","0"
"201","0","input/6170/","49475","285","301","313","4.498116051243406","3.423511680482291","2.2999246420497363","1327","0","0","0"
"208","0","input/6170/","49889","281","300","306","4.498116051243406","3.4370761115297666","2.3172569706103996","1327","0","0","0"
"203","0","input/6170/","49524","285","303","316","4.498116051243406","3.4220045214770156","2.2954031650339113","1327","0","0","0"
"202","0","input/6170/","49070","282","301","312","4.498116051243406","3.4318010550113036","2.306706857573474","1327","0","0","0"
"204","0","input/6170/","49874","284","298","310","4.498116051243406","3.426525998492841","2.3142426525998494","1327","0","0","0"
"209","0","input/6170/","48488","285","303","317","4.498116051243406","3.4204973624717407","2.293896006028636","1327","0","0","0"
"205","0","input/6170/","49478","288","308","326","4.498116051243406","3.409193669932178","2.2629992464204975","1327","0","0","0"
"207","0","input/6170/","49096","284","305","317","4.498116051243406","3.423511680482291","2.287113790504898","1327","0","0","0"
"211","0","input/6185/","38090","13","5","1","4.304116865869854","4.257636122177955","4.2370517928286855","1506","0","0","0"
"212","0","input/6185/","39120","15","5","1","4.304116865869854","4.252324037184595","4.231739707835326","1506","0","0","0"
"214","0","input/6185/","38100","13","5","1","4.304116865869854","4.257636122177955","4.2370517928286855","1506","0","0","0"
"213","0","input/6185/","39725","14","5","1","4.304116865869854","4.255644090305445","4.235059760956175","1506","0","0","0"
"216","0","input/6185/","38886","14","2","0","4.304116865869854","4.256308100929615","4.248339973439575","1506","0","0","0"
"215","0","input/6185/","40717","15","5","1","4.304116865869854","4.252324037184595","4.231739707835326","1506","0","0","0"
"217","0","input/6185/","36274","14","4","0","4.304116865869854","4.254980079681275","4.2383798140770255","1506","0","0","0"
"218","0","input/6185/","37502","13","3","0","4.304116865869854","4.259628154050465","4.247011952191235","1506","0","0","0"
"219","0","input/6185/","39497","13","3","0","4.304116865869854","4.259628154050465","4.247675962815405","1506","0","0","0"
"220","0","input/6185/","38071","13","5","1","4.304116865869854","4.257636122177955","4.2370517928286855","1506","0","0","0"
"221","0","input/6187/","40485","17","10","2","3.8357870894677237","3.7870894677236695","3.7565118912797284","1766","0","0","0"
"222","0","input/6187/","39893","17","11","3","3.8357870894677237","3.787655719139298","3.754246885617214","1766","0","0","0"
"223","0","input/6187/","40493","18","11","3","3.8357870894677237","3.7842582106455267","3.750849377123443","1766","0","0","0"
"224","0","input/6187/","40697","20","11","3","3.8357870894677237","3.778595696489241","3.7451868629671576","1766","0","0","0"
"231","0","input/6197/","8124","0","0","0","3.6620718462823727","0","0","2394","0","0","0"
"210","0","input/6170/","49043","283","298","305","4.498116051243406","3.4287867370007534","2.319517709118312","1327","0","0","0"
"232","0","input/6197/","8195","0","0","0","3.6620718462823727","0","0","2394","0","0","0"
"233","0","input/6197/","8099","0","0","0","3.6620718462823727","0","0","2394","0","0","0"
"226","0","input/6187/","40894","20","12","2","3.8357870894677237","3.7774631936579843","3.741789354473386","1766","0","0","0"
"225","0","input/6187/","40908","20","13","2","3.8357870894677237","3.7780294450736127","3.7400906002265004","1766","0","0","0"
"234","0","input/6197/","8127","0","0","0","3.6620718462823727","0","0","2394","0","0","0"
"227","0","input/6187/","37915","18","14","3","3.8357870894677237","3.783691959229898","3.741789354473386","1766","0","0","0"
"228","0","input/6187/","37714","17","11","2","3.8357870894677237","3.7870894677236695","3.7536806342015856","1766","0","0","0"
"235","0","input/6197/","8122","0","0","0","3.6620718462823727","0","0","2394","0","0","0"
"236","0","input/6197/","8113","0","0","0","3.6620718462823727","0","0","2394","0","0","0"
"237","0","input/6197/","8141","0","0","0","3.6620718462823727","0","0","2394","0","0","0"
"238","0","input/6197/","8142","0","0","0","3.6620718462823727","0","0","2394","0","0","0"
"239","0","input/6197/","8111","0","0","0","3.6620718462823727","0","0","2394","0","0","0"
"240","0","input/6197/","8134","0","0","0","3.6620718462823727","0","0","2394","0","0","0"
"229","0","input/6187/","40342","19","11","2","3.8357870894677237","3.781426953567384","3.7480181200453","1766","0","0","0"
"230","0","input/6187/","40895","20","14","2","3.8357870894677237","3.7768969422423555","3.7355605889014725","1766","0","0","0"
"241","0","input/6309/","46654","433","432","233","4.861915367483296","3.256867112100965","1.6867112100965107","1347","0","0","0"
"246","0","input/6309/","45972","433","430","236","4.861915367483296","3.256867112100965","1.696362286562732","1347","0","0","0"
"244","0","input/6309/","46466","430","428","239","4.861915367483296","3.271714922048998","1.7178916109873794","1347","0","0","0"
